trial,side,volume,scheduled_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,response_ts_sec,resp_phase,resp_phase_label,participant_id
29,left,0.05,2025-11-30 11:43:08.011329,2025-11-30 11:43:08.518165,0.506836,hit,1764502988.5181649,1.0,inhalation,P001
30,right,0.05,2025-11-30 11:43:15.011329,2025-11-30 11:43:15.519354,0.508025,hit,1764502995.519354,1.0,inhalation,P001
31,left,0.05,2025-11-30 11:43:22.011329,2025-11-30 11:43:22.454716,0.443387,hit,1764503002.454716,-1.0,exhalation,P001
32,right,0.05,2025-11-30 11:43:29.011329,2025-11-30 11:43:29.460341,0.449012,hit,1764503009.460341,1.0,inhalation,P001
33,right,0.05,2025-11-30 11:43:31.011329,2025-11-30 11:43:31.643474,0.632145,hit,1764503011.643474,-1.0,exhalation,P001
34,right,0.15,2025-11-30 11:43:36.011329,2025-11-30 11:43:36.561552,0.550223,hit,1764503016.5615518,-1.0,exhalation,P001
35,right,0.05,2025-11-30 11:43:38.011329,2025-11-30 11:43:38.546963,0.535634,hit,1764503018.546963,-1.0,exhalation,P001
36,right,0.15,2025-11-30 11:43:42.011329,2025-11-30 11:43:42.499907,0.488578,hit,1764503022.499907,1.0,inhalation,P001
37,left,0.1,2025-11-30 11:43:47.011329,2025-11-30 11:43:47.470496,0.459168,hit,1764503027.470496,-1.0,exhalation,P001
38,left,0.1,2025-11-30 11:43:51.011329,2025-11-30 11:43:51.522294,0.510965,hit,1764503031.522294,-1.0,exhalation,P001
39,right,0.15,2025-11-30 11:43:58.011329,2025-11-30 11:43:58.594103,0.582774,hit,1764503038.594103,-1.0,exhalation,P001
40,right,0.05,2025-11-30 11:44:05.011329,2025-11-30 11:44:05.738065,0.726737,hit,1764503045.738065,1.0,inhalation,P001
41,left,0.15,2025-11-30 11:44:09.011329,2025-11-30 11:44:09.765944,0.754615,hit,1764503049.765944,1.0,inhalation,P001
42,left,0.05,2025-11-30 11:44:14.011329,2025-11-30 11:44:14.654079,0.64275,hit,1764503054.654079,-1.0,exhalation,P001
43,left,0.1,2025-11-30 11:44:19.011329,2025-11-30 11:44:19.580725,0.569397,hit,1764503059.580725,-1.0,exhalation,P001
44,left,0.15,2025-11-30 11:44:26.011329,2025-11-30 11:44:26.575305,0.563977,hit,1764503066.575305,-1.0,exhalation,P001
45,left,0.1,2025-11-30 11:44:28.011329,2025-11-30 11:44:28.675146,0.663818,hit,1764503068.675146,1.0,inhalation,P001
46,right,0.1,2025-11-30 11:44:33.011329,2025-11-30 11:44:33.643529,0.632201,hit,1764503073.643529,-1.0,exhalation,P001
47,left,0.1,2025-11-30 11:44:35.011329,2025-11-30 11:44:35.689501,0.678172,hit,1764503075.689501,-1.0,exhalation,P001
48,left,0.05,2025-11-30 11:44:40.011329,2025-11-30 11:44:40.562959,0.55163,hit,1764503080.5629592,1.0,inhalation,P001
49,right,0.1,2025-11-30 11:44:42.011329,2025-11-30 11:44:42.577032,0.565703,hit,1764503082.577032,-1.0,exhalation,P001
50,right,0.1,2025-11-30 11:44:49.011329,2025-11-30 11:44:49.612709,0.60138,hit,1764503089.612709,1.0,inhalation,P001
51,right,0.05,2025-11-30 11:44:56.011329,2025-11-30 11:44:56.638655,0.627326,hit,1764503096.638655,1.0,inhalation,P001
52,right,0.05,2025-11-30 11:45:00.011329,2025-11-30 11:45:00.614948,0.603619,hit,1764503100.614948,-1.0,exhalation,P001
53,left,0.15,2025-11-30 11:45:04.011329,2025-11-30 11:45:04.563581,0.552252,hit,1764503104.563581,1.0,inhalation,P001
54,left,0.05,2025-11-30 11:45:09.011329,2025-11-30 11:45:09.689994,0.678665,hit,1764503109.689994,-1.0,exhalation,P001
55,right,0.05,2025-11-30 11:45:11.011329,2025-11-30 11:45:11.689679,0.67835,hit,1764503111.6896791,1.0,inhalation,P001
56,right,0.15,2025-11-30 11:45:16.011329,2025-11-30 11:45:16.915458,0.904129,hit,1764503116.915458,-1.0,exhalation,P001
57,right,0.1,2025-11-30 11:45:18.011329,2025-11-30 11:45:18.856806,0.845477,hit,1764503118.8568058,1.0,inhalation,P001
58,right,0.05,2025-11-30 11:45:23.011329,2025-11-30 11:45:23.702594,0.691266,hit,1764503123.702594,1.0,inhalation,P001
59,right,0.05,2025-11-30 11:45:27.011329,2025-11-30 11:45:27.523567,0.512239,hit,1764503127.5235672,1.0,inhalation,P001
60,right,0.05,2025-11-30 11:45:32.011329,2025-11-30 11:45:32.565587,0.554258,hit,1764503132.565587,1.0,inhalation,P001
61,right,0.1,2025-11-30 11:45:34.011329,2025-11-30 11:45:34.620915,0.609586,hit,1764503134.620915,-1.0,exhalation,P001
62,left,0.15,2025-11-30 11:45:39.011329,2025-11-30 11:45:39.589884,0.578556,hit,1764503139.5898838,1.0,inhalation,P001
63,left,0.1,2025-11-30 11:45:41.011329,2025-11-30 11:45:41.593970,0.582641,hit,1764503141.5939698,-1.0,exhalation,P001
64,right,0.1,2025-11-30 11:45:46.011329,2025-11-30 11:45:46.577610,0.566281,hit,1764503146.57761,-1.0,exhalation,P001
65,left,0.15,2025-11-30 11:45:51.011329,2025-11-30 11:45:51.666488,0.65516,hit,1764503151.6664882,-1.0,exhalation,P001
66,left,0.15,2025-11-30 11:45:58.011329,2025-11-30 11:45:58.668674,0.657345,hit,1764503158.668674,-1.0,exhalation,P001
67,right,0.05,2025-11-30 11:46:03.011329,2025-11-30 11:46:03.600425,0.589096,hit,1764503163.600425,-1.0,exhalation,P001
68,right,0.1,2025-11-30 11:46:05.011329,2025-11-30 11:46:05.598006,0.586677,hit,1764503165.598006,1.0,inhalation,P001
69,right,0.1,2025-11-30 11:46:12.011329,2025-11-30 11:46:12.539858,0.52853,hit,1764503172.539858,1.0,inhalation,P001
70,left,0.1,2025-11-30 11:46:14.011329,2025-11-30 11:46:14.627558,0.616229,hit,1764503174.627558,-1.0,exhalation,P001
71,left,0.15,2025-11-30 11:46:16.011329,2025-11-30 11:46:16.674555,0.663226,hit,1764503176.6745548,-1.0,exhalation,P001
72,right,0.15,2025-11-30 11:46:21.011329,2025-11-30 11:46:21.557759,0.54643,hit,1764503181.557759,1.0,inhalation,P001
73,left,0.15,2025-11-30 11:46:28.011329,2025-11-30 11:46:28.602685,0.591356,hit,1764503188.602685,-1.0,exhalation,P001
74,right,0.15,2025-11-30 11:46:30.011329,2025-11-30 11:46:30.638156,0.626828,hit,1764503190.638156,-1.0,exhalation,P001
75,left,0.15,2025-11-30 11:46:32.011329,2025-11-30 11:46:32.603222,0.591893,hit,1764503192.603222,1.0,inhalation,P001
76,left,0.05,2025-11-30 11:46:34.011329,2025-11-30 11:46:34.582799,0.57147,hit,1764503194.5827992,-1.0,exhalation,P001
77,left,0.15,2025-11-30 11:46:41.011329,2025-11-30 11:46:41.667017,0.655689,hit,1764503201.667017,-1.0,exhalation,P001
78,right,0.15,2025-11-30 11:46:48.011329,2025-11-30 11:46:48.661121,0.649793,hit,1764503208.6611211,1.0,inhalation,P001
79,right,0.15,2025-11-30 11:46:53.011329,2025-11-30 11:46:53.736362,0.725034,hit,1764503213.736362,-1.0,exhalation,P001
80,left,0.05,2025-11-30 11:46:57.011329,2025-11-30 11:46:57.593387,0.582058,hit,1764503217.5933871,-1.0,exhalation,P001
81,left,0.15,2025-11-30 11:47:04.011329,2025-11-30 11:47:04.676935,0.665606,hit,1764503224.676935,-1.0,exhalation,P001
82,left,0.05,2025-11-30 11:47:08.011329,2025-11-30 11:47:08.580951,0.569623,hit,1764503228.580951,1.0,inhalation,P001
83,right,0.1,2025-11-30 11:47:15.011329,2025-11-30 11:47:15.596619,0.585291,hit,1764503235.596619,-1.0,exhalation,P001
84,left,0.1,2025-11-30 11:47:20.011329,2025-11-30 11:47:20.647478,0.63615,hit,1764503240.647478,1.0,inhalation,P001
85,right,0.15,2025-11-30 11:47:24.011329,2025-11-30 11:47:24.584165,0.572837,hit,1764503244.584165,1.0,inhalation,P001
86,left,0.05,2025-11-30 11:47:31.011329,2025-11-30 11:47:31.600861,0.589533,hit,1764503251.6008608,-1.0,exhalation,P001
87,left,0.05,2025-11-30 11:47:36.011329,2025-11-30 11:47:36.696767,0.685438,hit,1764503256.696767,1.0,inhalation,P001
88,right,0.1,2025-11-30 11:47:38.011329,2025-11-30 11:47:38.835441,0.824112,hit,1764503258.8354409,-1.0,exhalation,P001
89,right,0.15,2025-11-30 11:47:45.011329,2025-11-30 11:47:45.674364,0.663035,hit,1764503265.674364,1.0,inhalation,P001
90,right,0.1,2025-11-30 11:47:47.011329,2025-11-30 11:47:47.659646,0.648317,hit,1764503267.659646,1.0,inhalation,P001
91,left,0.05,2025-11-30 11:47:49.011329,2025-11-30 11:47:49.635367,0.624038,hit,1764503269.635367,1.0,inhalation,P001
92,right,0.15,2025-11-30 11:47:54.011329,2025-11-30 11:47:54.557214,0.545886,hit,1764503274.557214,1.0,inhalation,P001
93,left,0.05,2025-11-30 11:48:01.011329,2025-11-30 11:48:01.614760,0.603431,hit,1764503281.61476,-1.0,exhalation,P001
94,right,0.05,2025-11-30 11:48:05.011329,2025-11-30 11:48:05.617230,0.605901,hit,1764503285.6172302,1.0,inhalation,P001
95,right,0.15,2025-11-30 11:48:07.011329,2025-11-30 11:48:07.597975,0.586646,hit,1764503287.597975,-1.0,exhalation,P001
96,right,0.15,2025-11-30 11:48:09.011329,2025-11-30 11:48:09.501258,0.489929,hit,1764503289.501258,1.0,inhalation,P001
97,left,0.05,2025-11-30 11:48:14.011329,2025-11-30 11:48:14.604419,0.59309,hit,1764503294.604419,1.0,inhalation,P001
98,left,0.15,2025-11-30 11:48:18.011329,2025-11-30 11:48:18.531907,0.520579,hit,1764503298.531907,1.0,inhalation,P001
99,left,0.1,2025-11-30 11:48:20.011329,2025-11-30 11:48:20.528665,0.517336,hit,1764503300.528665,1.0,inhalation,P001
100,left,0.05,2025-11-30 11:48:25.011329,2025-11-30 11:48:25.624352,0.613023,hit,1764503305.624352,-1.0,exhalation,P001
101,left,0.1,2025-11-30 11:48:32.011329,2025-11-30 11:48:32.600928,0.589599,hit,1764503312.600928,1.0,inhalation,P001
102,left,0.1,2025-11-30 11:48:34.011329,2025-11-30 11:48:34.622006,0.610678,hit,1764503314.622006,1.0,inhalation,P001
103,right,0.15,2025-11-30 11:48:41.011329,2025-11-30 11:48:41.649141,0.637812,hit,1764503321.649141,-1.0,exhalation,P001
104,right,0.1,2025-11-30 11:48:48.011329,2025-11-30 11:48:48.610454,0.599125,hit,1764503328.610454,-1.0,exhalation,P001
105,right,0.1,2025-11-30 11:48:55.011329,2025-11-30 11:48:55.753413,0.742084,hit,1764503335.7534132,-1.0,exhalation,P001
106,right,0.1,2025-11-30 11:49:02.011329,2025-11-30 11:49:02.542088,0.530759,hit,1764503342.542088,1.0,inhalation,P001
107,right,0.05,2025-11-30 11:49:04.011329,2025-11-30 11:49:04.595570,0.584241,hit,1764503344.5955698,-1.0,exhalation,P001
108,left,0.05,2025-11-30 11:49:11.011329,2025-11-30 11:49:11.530335,0.519006,hit,1764503351.530335,-1.0,exhalation,P001
109,left,0.15,2025-11-30 11:49:15.011329,2025-11-30 11:49:15.541369,0.530041,hit,1764503355.5413692,-1.0,exhalation,P001
110,left,0.15,2025-11-30 11:49:17.011329,2025-11-30 11:49:17.575258,0.56393,hit,1764503357.575258,-1.0,exhalation,P001
111,left,0.15,2025-11-30 11:49:22.011329,2025-11-30 11:49:22.556540,0.545211,hit,1764503362.55654,1.0,inhalation,P001
112,left,0.05,2025-11-30 11:49:26.011329,2025-11-30 11:49:26.566610,0.555281,hit,1764503366.56661,-1.0,exhalation,P001
113,left,0.05,2025-11-30 11:49:28.011329,2025-11-30 11:49:28.569714,0.558386,hit,1764503368.5697138,-1.0,exhalation,P001
114,left,0.15,2025-11-30 11:49:32.011329,2025-11-30 11:49:32.552420,0.541091,hit,1764503372.55242,1.0,inhalation,P001
115,left,0.05,2025-11-30 11:49:37.011329,2025-11-30 11:49:37.629262,0.617934,hit,1764503377.629262,-1.0,exhalation,P001
116,right,0.05,2025-11-30 11:49:44.011329,2025-11-30 11:49:44.686018,0.674689,hit,1764503384.686018,-1.0,exhalation,P001
117,right,0.05,2025-11-30 11:49:51.011329,2025-11-30 11:49:51.573719,0.56239,hit,1764503391.573719,1.0,inhalation,P001
118,right,0.05,2025-11-30 11:49:53.011329,2025-11-30 11:49:53.602973,0.591644,hit,1764503393.602973,-1.0,exhalation,P001
119,left,0.05,2025-11-30 11:50:00.011329,2025-11-30 11:50:00.611138,0.599809,hit,1764503400.611138,-1.0,exhalation,P001
120,left,0.1,2025-11-30 11:50:07.011329,2025-11-30 11:50:07.730297,0.718968,hit,1764503407.730297,1.0,inhalation,P001
121,right,0.1,2025-11-30 11:50:09.011329,2025-11-30 11:50:09.587238,0.575909,hit,1764503409.5872378,-1.0,exhalation,P001
122,left,0.05,2025-11-30 11:50:16.011329,2025-11-30 11:50:16.584495,0.573166,hit,1764503416.584495,-1.0,exhalation,P001
123,left,0.1,2025-11-30 11:50:18.011329,2025-11-30 11:50:18.670024,0.658695,hit,1764503418.670024,-1.0,exhalation,P001
124,right,0.1,2025-11-30 11:50:25.011329,2025-11-30 11:50:25.619108,0.607779,hit,1764503425.6191082,1.0,inhalation,P001
125,left,0.1,2025-11-30 11:50:29.011329,2025-11-30 11:50:29.597209,0.58588,hit,1764503429.597209,1.0,inhalation,P001
126,right,0.1,2025-11-30 11:50:31.011329,2025-11-30 11:50:31.819333,0.808004,hit,1764503431.819333,-1.0,exhalation,P001
1,right,0.15,2025-11-30 11:58:59.676121,2025-11-30 11:59:00.271226,0.595105,hit,1764503940.2712262,-1.0,exhalation,P002
2,right,0.05,2025-11-30 11:59:03.676121,2025-11-30 11:59:04.190090,0.513968,hit,1764503944.19009,1.0,inhalation,P002
3,left,0.1,2025-11-30 11:59:07.676121,2025-11-30 11:59:08.453166,0.777044,hit,1764503948.453166,1.0,inhalation,P002
4,right,0.15,2025-11-30 11:59:09.676121,2025-11-30 11:59:10.288466,0.612345,hit,1764503950.288466,-1.0,exhalation,P002
5,right,0.05,2025-11-30 11:59:16.676121,2025-11-30 11:59:17.256784,0.580662,hit,1764503957.256784,-1.0,exhalation,P002
6,right,0.1,2025-11-30 11:59:21.676121,2025-11-30 11:59:22.365959,0.689838,hit,1764503962.365959,-1.0,exhalation,P002
7,left,0.15,2025-11-30 11:59:25.676121,2025-11-30 11:59:26.136592,0.460471,hit,1764503966.136592,-1.0,exhalation,P002
8,right,0.05,2025-11-30 11:59:32.676121,2025-11-30 11:59:33.128891,0.45277,hit,1764503973.128891,-1.0,exhalation,P002
9,right,0.1,2025-11-30 11:59:39.676121,2025-11-30 11:59:40.175728,0.499607,hit,1764503980.175728,1.0,inhalation,P002
10,left,0.1,2025-11-30 11:59:44.676121,2025-11-30 11:59:45.140162,0.46404,hit,1764503985.140162,-1.0,exhalation,P002
11,left,0.1,2025-11-30 11:59:48.676121,2025-11-30 11:59:49.086743,0.410621,hit,1764503989.086743,1.0,inhalation,P002
12,left,0.15,2025-11-30 11:59:52.676121,2025-11-30 11:59:53.088592,0.41247,hit,1764503993.0885918,1.0,inhalation,P002
13,left,0.15,2025-11-30 11:59:59.676121,2025-11-30 12:00:00.181940,0.505819,hit,1764504000.18194,-1.0,exhalation,P002
14,right,0.15,2025-11-30 12:00:04.676121,2025-11-30 12:00:05.141206,0.465085,hit,1764504005.141206,-1.0,exhalation,P002
15,left,0.1,2025-11-30 12:00:11.676121,2025-11-30 12:00:12.153673,0.477551,hit,1764504012.153673,1.0,inhalation,P002
16,left,0.05,2025-11-30 12:00:16.676121,2025-11-30 12:00:17.188755,0.512633,hit,1764504017.188755,-1.0,exhalation,P002
17,left,0.1,2025-11-30 12:00:18.676121,2025-11-30 12:00:19.167886,0.491764,hit,1764504019.167886,1.0,inhalation,P002
18,right,0.15,2025-11-30 12:00:23.676121,2025-11-30 12:00:24.172826,0.496704,hit,1764504024.172826,1.0,inhalation,P002
19,left,0.1,2025-11-30 12:00:27.676121,2025-11-30 12:00:28.046402,0.370281,hit,1764504028.046402,-1.0,exhalation,P002
20,right,0.1,2025-11-30 12:00:32.676121,2025-11-30 12:00:33.082745,0.406623,hit,1764504033.082745,-1.0,exhalation,P002
21,right,0.1,2025-11-30 12:00:34.676121,2025-11-30 12:00:35.132186,0.456065,hit,1764504035.1321862,1.0,inhalation,P002
22,right,0.15,2025-11-30 12:00:36.676121,2025-11-30 12:00:37.058637,0.382516,hit,1764504037.0586371,1.0,inhalation,P002
23,left,0.15,2025-11-30 12:00:38.676121,2025-11-30 12:00:39.080846,0.404725,hit,1764504039.080846,-1.0,exhalation,P002
24,right,0.05,2025-11-30 12:00:45.676121,2025-11-30 12:00:46.268926,0.592805,hit,1764504046.268926,-1.0,exhalation,P002
25,left,0.15,2025-11-30 12:00:50.676121,2025-11-30 12:00:51.151711,0.47559,hit,1764504051.151711,-1.0,exhalation,P002
26,left,0.1,2025-11-30 12:00:54.676121,2025-11-30 12:00:55.131854,0.455732,hit,1764504055.131854,-1.0,exhalation,P002
27,right,0.15,2025-11-30 12:00:56.676121,2025-11-30 12:00:57.162061,0.48594,hit,1764504057.162061,1.0,inhalation,P002
28,right,0.15,2025-11-30 12:00:58.676121,2025-11-30 12:00:59.098991,0.42287,hit,1764504059.0989912,-1.0,exhalation,P002
29,left,0.05,2025-11-30 12:01:02.676121,2025-11-30 12:01:03.128125,0.452003,hit,1764504063.128125,-1.0,exhalation,P002
30,right,0.05,2025-11-30 12:01:09.676121,2025-11-30 12:01:10.124022,0.447901,hit,1764504070.124022,1.0,inhalation,P002
31,left,0.05,2025-11-30 12:01:16.676121,2025-11-30 12:01:17.256631,0.580509,hit,1764504077.2566311,1.0,inhalation,P002
32,right,0.05,2025-11-30 12:01:23.676121,2025-11-30 12:01:24.203043,0.526922,hit,1764504084.203043,-1.0,exhalation,P002
33,right,0.05,2025-11-30 12:01:25.676121,2025-11-30 12:01:26.163703,0.487582,hit,1764504086.163703,1.0,inhalation,P002
34,right,0.15,2025-11-30 12:01:30.676121,2025-11-30 12:01:31.095321,0.419199,hit,1764504091.0953212,1.0,inhalation,P002
35,right,0.05,2025-11-30 12:01:32.676121,2025-11-30 12:01:33.101780,0.425659,hit,1764504093.10178,-1.0,exhalation,P002
36,right,0.15,2025-11-30 12:01:36.676121,2025-11-30 12:01:37.086775,0.410653,hit,1764504097.086775,-1.0,exhalation,P002
37,left,0.1,2025-11-30 12:01:41.676121,2025-11-30 12:01:42.112059,0.435938,hit,1764504102.1120589,-1.0,exhalation,P002
38,left,0.1,2025-11-30 12:01:45.676121,2025-11-30 12:01:46.122788,0.446666,hit,1764504106.1227882,-1.0,exhalation,P002
39,right,0.15,2025-11-30 12:01:52.676121,2025-11-30 12:01:53.307678,0.631557,hit,1764504113.307678,1.0,inhalation,P002
40,right,0.05,2025-11-30 12:01:59.676121,2025-11-30 12:02:00.215481,0.53936,hit,1764504120.215481,-1.0,exhalation,P002
41,left,0.15,2025-11-30 12:02:03.676121,2025-11-30 12:02:04.290367,0.614246,hit,1764504124.290367,-1.0,exhalation,P002
42,left,0.05,2025-11-30 12:02:08.676121,2025-11-30 12:02:09.240399,0.564278,hit,1764504129.2403991,-1.0,exhalation,P002
43,left,0.1,2025-11-30 12:02:13.676121,2025-11-30 12:02:14.222984,0.546862,hit,1764504134.2229838,-1.0,exhalation,P002
44,left,0.15,2025-11-30 12:02:20.676121,2025-11-30 12:02:21.278432,0.602311,hit,1764504141.278432,-1.0,exhalation,P002
45,left,0.1,2025-11-30 12:02:22.676121,2025-11-30 12:02:23.209700,0.533578,hit,1764504143.2097,1.0,inhalation,P002
46,right,0.1,2025-11-30 12:02:27.676121,2025-11-30 12:02:28.275378,0.599256,hit,1764504148.275378,-1.0,exhalation,P002
47,left,0.1,2025-11-30 12:02:29.676121,2025-11-30 12:02:30.172009,0.495888,hit,1764504150.172009,1.0,inhalation,P002
48,left,0.05,2025-11-30 12:02:34.676121,2025-11-30 12:02:35.219455,0.543333,hit,1764504155.219455,-1.0,exhalation,P002
49,right,0.1,2025-11-30 12:02:36.676121,2025-11-30 12:02:37.216910,0.540788,hit,1764504157.21691,1.0,inhalation,P002
50,right,0.1,2025-11-30 12:02:43.676121,2025-11-30 12:02:44.245394,0.569272,hit,1764504164.245394,-1.0,exhalation,P002
51,right,0.05,2025-11-30 12:02:50.676121,2025-11-30 12:02:51.152583,0.476461,hit,1764504171.152583,-1.0,exhalation,P002
52,right,0.05,2025-11-30 12:02:54.676121,2025-11-30 12:02:55.193283,0.517162,hit,1764504175.193283,1.0,inhalation,P002
53,left,0.15,2025-11-30 12:02:58.676121,2025-11-30 12:02:59.173556,0.497434,hit,1764504179.173556,-1.0,exhalation,P002
54,left,0.05,2025-11-30 12:03:03.676121,2025-11-30 12:03:04.203293,0.527172,hit,1764504184.2032928,-1.0,exhalation,P002
55,right,0.05,2025-11-30 12:03:05.676121,2025-11-30 12:03:06.185499,0.509378,hit,1764504186.185499,1.0,inhalation,P002
56,right,0.15,2025-11-30 12:03:10.676121,2025-11-30 12:03:11.152119,0.475998,hit,1764504191.152119,1.0,inhalation,P002
57,right,0.1,2025-11-30 12:03:12.676121,2025-11-30 12:03:13.207958,0.531836,hit,1764504193.207958,1.0,inhalation,P002
58,right,0.05,2025-11-30 12:03:17.676121,2025-11-30 12:03:18.191144,0.515022,hit,1764504198.191144,1.0,inhalation,P002
59,right,0.05,2025-11-30 12:03:21.676121,2025-11-30 12:03:22.211191,0.535069,hit,1764504202.211191,1.0,inhalation,P002
60,right,0.05,2025-11-30 12:03:26.676121,2025-11-30 12:03:27.218755,0.542634,hit,1764504207.218755,1.0,inhalation,P002
61,right,0.1,2025-11-30 12:03:28.676121,2025-11-30 12:03:29.381257,0.705136,hit,1764504209.381257,-1.0,exhalation,P002
62,left,0.15,2025-11-30 12:03:33.676121,2025-11-30 12:03:34.269990,0.593869,hit,1764504214.26999,-1.0,exhalation,P002
63,left,0.1,2025-11-30 12:03:35.676121,2025-11-30 12:03:36.156337,0.480216,hit,1764504216.1563368,1.0,inhalation,P002
64,right,0.1,2025-11-30 12:03:40.676121,2025-11-30 12:03:41.266831,0.590709,hit,1764504221.2668312,1.0,inhalation,P002
65,left,0.15,2025-11-30 12:03:45.676121,2025-11-30 12:03:46.318513,0.642391,hit,1764504226.318513,-1.0,exhalation,P002
66,left,0.15,2025-11-30 12:03:52.676121,2025-11-30 12:03:53.255736,0.579614,hit,1764504233.255736,1.0,inhalation,P002
67,right,0.05,2025-11-30 12:03:57.676121,2025-11-30 12:03:58.212633,0.536512,hit,1764504238.2126331,1.0,inhalation,P002
68,right,0.1,2025-11-30 12:03:59.676121,2025-11-30 12:04:00.236466,0.560344,hit,1764504240.236466,-1.0,exhalation,P002
69,right,0.1,2025-11-30 12:04:06.676121,2025-11-30 12:04:07.286351,0.61023,hit,1764504247.2863512,1.0,inhalation,P002
70,left,0.1,2025-11-30 12:04:08.676121,2025-11-30 12:04:09.242759,0.566637,hit,1764504249.242759,-1.0,exhalation,P002
71,left,0.15,2025-11-30 12:04:10.676121,2025-11-30 12:04:11.198507,0.522386,hit,1764504251.198507,1.0,inhalation,P002
72,right,0.15,2025-11-30 12:04:15.676121,2025-11-30 12:04:16.220493,0.544371,hit,1764504256.220493,-1.0,exhalation,P002
73,left,0.15,2025-11-30 12:04:22.676121,2025-11-30 12:04:23.273612,0.597491,hit,1764504263.273612,1.0,inhalation,P002
74,right,0.15,2025-11-30 12:04:24.676121,2025-11-30 12:04:25.188951,0.512829,hit,1764504265.188951,-1.0,exhalation,P002
75,left,0.15,2025-11-30 12:04:26.676121,2025-11-30 12:04:27.161125,0.485004,hit,1764504267.1611252,1.0,inhalation,P002
