trial,side,volume,scheduled_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,response_ts_sec,resp_phase_deg,resp_phase_label
107,right,0.05,2025-11-30 11:49:04.011329,2025-11-30 11:49:04.595570,0.584241,hit,1764503344.5955698,128.26740724902297,exhalation
108,left,0.05,2025-11-30 11:49:11.011329,2025-11-30 11:49:11.530335,0.519006,hit,1764503351.530335,166.89471773957501,exhalation
109,left,0.15,2025-11-30 11:49:15.011329,2025-11-30 11:49:15.541369,0.530041,hit,1764503355.5413692,128.0889067628407,exhalation
110,left,0.15,2025-11-30 11:49:17.011329,2025-11-30 11:49:17.575258,0.56393,hit,1764503357.575258,222.60078235276075,exhalation
111,left,0.15,2025-11-30 11:49:22.011329,2025-11-30 11:49:22.556540,0.545211,hit,1764503362.55654,192.95662569239974,exhalation
112,left,0.05,2025-11-30 11:49:26.011329,2025-11-30 11:49:26.566610,0.555281,hit,1764503366.5666099,4.475694882315338,inhalation
113,left,0.05,2025-11-30 11:49:28.011329,2025-11-30 11:49:28.569714,0.558386,hit,1764503368.5697138,90.0,inhalation
114,none,,,2025-11-30 11:49:31.092675,,false_positive,1764503371.092675,245.58607499914237,exhalation
114,left,0.15,2025-11-30 11:49:32.011329,2025-11-30 11:49:32.552420,0.541091,hit,1764503372.5524201,15.012309966210978,inhalation
115,left,0.05,2025-11-30 11:49:37.011329,2025-11-30 11:49:37.629262,0.617934,hit,1764503377.629262,127.56989280437361,exhalation
116,right,0.05,2025-11-30 11:49:44.011329,2025-11-30 11:49:44.686018,0.674689,hit,1764503384.686018,259.47424207311644,exhalation
117,right,0.05,2025-11-30 11:49:51.011329,2025-11-30 11:49:51.573719,0.56239,hit,1764503391.573719,270.0,inhalation
118,right,0.05,2025-11-30 11:49:53.011329,2025-11-30 11:49:53.602973,0.591644,hit,1764503393.602973,101.84263360098929,exhalation
119,left,0.05,2025-11-30 11:50:00.011329,2025-11-30 11:50:00.611138,0.599809,hit,1764503400.611138,174.988205659333,exhalation
120,left,0.1,2025-11-30 11:50:07.011329,2025-11-30 11:50:07.730297,0.718968,hit,1764503407.730297,5.006212796040018,inhalation
121,right,0.1,2025-11-30 11:50:09.011329,2025-11-30 11:50:09.587238,0.575909,hit,1764503409.5872378,125.98855691419624,exhalation
122,left,0.05,2025-11-30 11:50:16.011329,2025-11-30 11:50:16.584495,0.573166,hit,1764503416.584495,188.71943563720959,exhalation
123,left,0.1,2025-11-30 11:50:18.011329,2025-11-30 11:50:18.670024,0.658695,hit,1764503418.670024,260.2512063479568,exhalation
124,right,0.1,2025-11-30 11:50:25.011329,2025-11-30 11:50:25.619108,0.607779,hit,1764503425.6191082,17.880874920819338,inhalation
125,left,0.1,2025-11-30 11:50:29.011329,2025-11-30 11:50:29.597209,0.58588,hit,1764503429.597209,333.36632957670895,inhalation
126,right,0.1,2025-11-30 11:50:31.011329,2025-11-30 11:50:31.819333,0.808004,hit,1764503431.819333,96.36699487703386,exhalation
