trial,side,volume,scheduled_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,response_ts_sec,resp_phase,resp_phase_label
20,right,0.1,2025-11-30 17:47:00.129117,2025-11-30 17:47:00.539221,0.410103,hit,1764524820.539221,1.0,inhalation
21,right,0.1,2025-11-30 17:47:02.129117,2025-11-30 17:47:02.711490,0.582372,hit,1764524822.7114902,1.0,inhalation
22,right,0.15,2025-11-30 17:47:04.129117,2025-11-30 17:47:04.574291,0.445173,hit,1764524824.574291,-1.0,exhalation
23,left,0.15,2025-11-30 17:47:06.129117,2025-11-30 17:47:06.558117,0.429,hit,1764524826.5581172,-1.0,exhalation
24,right,0.05,2025-11-30 17:47:13.129117,2025-11-30 17:47:13.595596,0.466479,hit,1764524833.595596,1.0,inhalation
25,left,0.15,2025-11-30 17:47:18.129117,2025-11-30 17:47:18.613164,0.484047,hit,1764524838.613164,-1.0,exhalation
26,left,0.1,2025-11-30 17:47:22.129117,2025-11-30 17:47:22.595133,0.466015,hit,1764524842.5951328,-1.0,exhalation
27,right,0.15,2025-11-30 17:47:24.129117,2025-11-30 17:47:24.606432,0.477314,hit,1764524844.606432,1.0,inhalation
28,right,0.15,2025-11-30 17:47:26.129117,2025-11-30 17:47:26.555245,0.426127,hit,1764524846.5552452,1.0,inhalation
29,left,0.05,2025-11-30 17:47:30.129117,2025-11-30 17:47:30.561417,0.4323,hit,1764524850.5614169,-1.0,exhalation
30,right,0.05,2025-11-30 17:47:37.129117,2025-11-30 17:47:37.665773,0.536655,hit,1764524857.6657732,1.0,inhalation
31,left,0.05,2025-11-30 17:47:44.129117,2025-11-30 17:47:44.657938,0.528821,hit,1764524864.657938,1.0,inhalation
32,right,0.05,2025-11-30 17:47:51.129117,2025-11-30 17:47:51.665802,0.536684,hit,1764524871.665802,1.0,inhalation
33,right,0.05,2025-11-30 17:47:53.129117,2025-11-30 17:47:53.685358,0.55624,hit,1764524873.685358,-1.0,exhalation
34,right,0.15,2025-11-30 17:47:58.129117,2025-11-30 17:47:58.609679,0.480561,hit,1764524878.6096792,-1.0,exhalation
35,right,0.05,2025-11-30 17:48:00.129117,2025-11-30 17:48:00.626813,0.497695,hit,1764524880.626813,-1.0,exhalation
36,right,0.15,2025-11-30 17:48:04.129117,2025-11-30 17:48:04.681715,0.552598,hit,1764524884.681715,1.0,inhalation
37,left,0.1,2025-11-30 17:48:09.129117,2025-11-30 17:48:09.776452,0.647334,hit,1764524889.776452,1.0,inhalation
38,left,0.1,2025-11-30 17:48:13.129117,2025-11-30 17:48:13.685045,0.555928,hit,1764524893.685045,-1.0,exhalation
39,right,0.15,2025-11-30 17:48:20.129117,2025-11-30 17:48:20.857849,0.728731,hit,1764524900.8578491,-1.0,exhalation
40,right,0.05,2025-11-30 17:48:27.129117,2025-11-30 17:48:27.761030,0.631912,hit,1764524907.76103,-1.0,exhalation
41,left,0.15,2025-11-30 17:48:31.129117,2025-11-30 17:48:31.828264,0.699146,hit,1764524911.828264,1.0,inhalation
42,left,0.05,2025-11-30 17:48:36.129117,2025-11-30 17:48:36.849601,0.720484,hit,1764524916.849601,-1.0,exhalation
43,left,0.1,2025-11-30 17:48:41.129117,2025-11-30 17:48:41.798648,0.669531,hit,1764524921.798648,-1.0,exhalation
44,left,0.15,2025-11-30 17:48:48.129117,2025-11-30 17:48:48.781747,0.65263,hit,1764524928.7817469,1.0,inhalation
45,left,0.1,2025-11-30 17:48:50.129117,2025-11-30 17:48:50.770119,0.641002,hit,1764524930.770119,-1.0,exhalation
46,right,0.1,2025-11-30 17:48:55.129117,2025-11-30 17:48:55.741884,0.612766,hit,1764524935.741884,1.0,inhalation
47,left,0.1,2025-11-30 17:48:57.129117,2025-11-30 17:48:57.762693,0.633575,hit,1764524937.7626932,1.0,inhalation
48,left,0.05,2025-11-30 17:49:02.129117,2025-11-30 17:49:02.752460,0.623342,hit,1764524942.75246,1.0,inhalation
49,right,0.1,2025-11-30 17:49:04.129117,2025-11-30 17:49:04.722465,0.593347,hit,1764524944.722465,-1.0,exhalation
50,right,0.1,2025-11-30 17:49:11.129117,2025-11-30 17:49:11.730186,0.601068,hit,1764524951.730186,1.0,inhalation
51,right,0.05,2025-11-30 17:49:18.129117,2025-11-30 17:49:18.753793,0.624675,hit,1764524958.753793,1.0,inhalation
52,right,0.05,2025-11-30 17:49:22.129117,2025-11-30 17:49:22.914183,0.785066,hit,1764524962.914183,-1.0,exhalation
53,left,0.15,2025-11-30 17:49:26.129117,2025-11-30 17:49:26.926832,0.797714,hit,1764524966.9268322,-1.0,exhalation
54,left,0.05,2025-11-30 17:49:31.129117,2025-11-30 17:49:31.832046,0.702928,hit,1764524971.832046,-1.0,exhalation
55,right,0.05,2025-11-30 17:49:33.129117,2025-11-30 17:49:33.764565,0.635447,hit,1764524973.764565,-1.0,exhalation
56,right,0.15,2025-11-30 17:49:38.129117,2025-11-30 17:49:38.767069,0.637952,hit,1764524978.7670689,1.0,inhalation
57,right,0.1,2025-11-30 17:49:40.129117,2025-11-30 17:49:40.816646,0.687529,hit,1764524980.8166459,1.0,inhalation
58,right,0.05,2025-11-30 17:49:45.129117,2025-11-30 17:49:45.932010,0.802893,hit,1764524985.93201,1.0,inhalation
59,right,0.05,2025-11-30 17:49:49.129117,2025-11-30 17:49:49.831308,0.702191,hit,1764524989.8313081,-1.0,exhalation
60,right,0.05,2025-11-30 17:49:54.129117,2025-11-30 17:49:54.787146,0.658028,hit,1764524994.787146,-1.0,exhalation
61,right,0.1,2025-11-30 17:49:56.129117,2025-11-30 17:49:56.838764,0.709646,hit,1764524996.838764,-1.0,exhalation
62,left,0.15,2025-11-30 17:50:01.129117,2025-11-30 17:50:01.809740,0.680622,hit,1764525001.80974,1.0,inhalation
63,left,0.1,2025-11-30 17:50:03.129117,2025-11-30 17:50:03.900193,0.771076,hit,1764525003.900193,-1.0,exhalation
64,right,0.1,2025-11-30 17:50:08.129117,2025-11-30 17:50:09.004215,0.875097,hit,1764525009.004215,-1.0,exhalation
65,left,0.15,2025-11-30 17:50:13.129117,2025-11-30 17:50:14.055323,0.926205,hit,1764525014.055323,-1.0,exhalation
66,left,0.15,2025-11-30 17:50:20.129117,2025-11-30 17:50:20.876108,0.74699,hit,1764525020.876108,-1.0,exhalation
67,right,0.05,2025-11-30 17:50:25.129117,2025-11-30 17:50:25.938180,0.809062,hit,1764525025.9381802,-1.0,exhalation
68,right,0.1,2025-11-30 17:50:27.129117,2025-11-30 17:50:27.927988,0.798871,hit,1764525027.927988,1.0,inhalation
69,right,0.1,2025-11-30 17:50:34.129117,2025-11-30 17:50:34.886361,0.757244,hit,1764525034.8863611,1.0,inhalation
70,left,0.1,2025-11-30 17:50:36.129117,2025-11-30 17:50:36.994066,0.864948,hit,1764525036.994066,-1.0,exhalation
71,left,0.15,2025-11-30 17:50:38.129117,2025-11-30 17:50:38.794139,0.665021,hit,1764525038.794139,1.0,inhalation
72,right,0.15,2025-11-30 17:50:43.129117,2025-11-30 17:50:43.779640,0.650523,hit,1764525043.77964,-1.0,exhalation
73,none,,,2025-11-30 17:50:44.006573,,false_positive,1764525044.006573,-1.0,exhalation
73,left,0.15,2025-11-30 17:50:50.129117,2025-11-30 17:50:50.785681,0.656564,hit,1764525050.785681,-1.0,exhalation
74,right,0.15,2025-11-30 17:50:52.129117,2025-11-30 17:50:53.024130,0.895012,hit,1764525053.02413,-1.0,exhalation
75,left,0.15,2025-11-30 17:50:54.129117,2025-11-30 17:50:54.923513,0.794396,hit,1764525054.9235132,-1.0,exhalation
76,left,0.05,2025-11-30 17:50:56.129117,2025-11-30 17:50:56.890882,0.761764,hit,1764525056.890882,1.0,inhalation
77,left,0.15,2025-11-30 17:51:03.129117,2025-11-30 17:51:03.935570,0.806452,hit,1764525063.93557,-1.0,exhalation
78,right,0.15,2025-11-30 17:51:10.129117,2025-11-30 17:51:10.775181,0.646064,hit,1764525070.775181,1.0,inhalation
79,right,0.15,2025-11-30 17:51:15.129117,2025-11-30 17:51:15.802084,0.672967,hit,1764525075.8020842,1.0,inhalation
80,left,0.05,2025-11-30 17:51:19.129117,2025-11-30 17:51:20.614716,1.485598,hit,1764525080.6147158,-1.0,exhalation
81,left,0.15,2025-11-30 17:51:26.129117,2025-11-30 17:51:26.910573,0.781455,hit,1764525086.910573,-1.0,exhalation
82,left,0.05,2025-11-30 17:51:30.129117,2025-11-30 17:51:31.041553,0.912436,hit,1764525091.0415528,-1.0,exhalation
83,right,0.1,2025-11-30 17:51:37.129117,2025-11-30 17:51:37.874151,0.745034,hit,1764525097.874151,-1.0,exhalation
84,left,0.1,2025-11-30 17:51:42.129117,2025-11-30 17:51:42.934770,0.805653,hit,1764525102.9347699,-1.0,exhalation
85,right,0.15,2025-11-30 17:51:46.129117,2025-11-30 17:51:46.975091,0.845973,hit,1764525106.975091,-1.0,exhalation
86,left,0.05,2025-11-30 17:51:53.129117,2025-11-30 17:51:53.956224,0.827107,hit,1764525113.956224,-1.0,exhalation
87,left,0.05,2025-11-30 17:51:58.129117,2025-11-30 17:51:58.862533,0.733416,hit,1764525118.862533,-1.0,exhalation
88,right,0.1,2025-11-30 17:52:00.129117,2025-11-30 17:52:00.803862,0.674744,hit,1764525120.803862,-1.0,exhalation
89,right,0.15,2025-11-30 17:52:07.129117,2025-11-30 17:52:07.822938,0.693821,hit,1764525127.8229382,1.0,inhalation
90,right,0.1,2025-11-30 17:52:09.129117,2025-11-30 17:52:09.791177,0.662059,hit,1764525129.791177,-1.0,exhalation
91,left,0.05,2025-11-30 17:52:11.129117,2025-11-30 17:52:11.810337,0.681219,hit,1764525131.810337,-1.0,exhalation
92,none,,,2025-11-30 17:52:13.669906,,false_positive,1764525133.669906,1.0,inhalation
92,right,0.15,2025-11-30 17:52:16.129117,2025-11-30 17:52:16.834342,0.705225,hit,1764525136.834342,-1.0,exhalation
93,left,0.05,2025-11-30 17:52:23.129117,2025-11-30 17:52:23.825250,0.696132,hit,1764525143.8252501,-1.0,exhalation
94,right,0.05,2025-11-30 17:52:27.129117,2025-11-30 17:52:27.855503,0.726385,hit,1764525147.855503,-1.0,exhalation
95,right,0.15,2025-11-30 17:52:29.129117,2025-11-30 17:52:29.798933,0.669815,hit,1764525149.798933,-1.0,exhalation
96,right,0.15,2025-11-30 17:52:31.129117,2025-11-30 17:52:31.962909,0.833792,hit,1764525151.962909,-1.0,exhalation
97,left,0.05,2025-11-30 17:52:36.129117,2025-11-30 17:52:36.831833,0.702715,hit,1764525156.8318331,-1.0,exhalation
98,left,0.15,2025-11-30 17:52:40.129117,2025-11-30 17:52:40.855707,0.72659,hit,1764525160.855707,-1.0,exhalation
99,left,0.1,2025-11-30 17:52:42.129117,2025-11-30 17:52:42.987887,0.85877,hit,1764525162.9878871,1.0,inhalation
100,left,0.05,2025-11-30 17:52:47.129117,2025-11-30 17:52:48.106532,0.977414,hit,1764525168.106532,1.0,inhalation
101,left,0.1,2025-11-30 17:52:54.129117,2025-11-30 17:52:54.970658,0.84154,hit,1764525174.970658,1.0,inhalation
102,left,0.1,2025-11-30 17:52:56.129117,2025-11-30 17:52:56.893567,0.764449,hit,1764525176.893567,1.0,inhalation
103,right,0.15,2025-11-30 17:53:03.129117,2025-11-30 17:53:03.847075,0.717958,hit,1764525183.847075,-1.0,exhalation
104,right,0.1,2025-11-30 17:53:10.129117,2025-11-30 17:53:10.890292,0.761175,hit,1764525190.890292,1.0,inhalation
105,right,0.1,2025-11-30 17:53:17.129117,2025-11-30 17:53:17.877954,0.748837,hit,1764525197.877954,-1.0,exhalation
106,right,0.1,2025-11-30 17:53:24.129117,2025-11-30 17:53:24.908417,0.779299,hit,1764525204.908417,-1.0,exhalation
107,right,0.05,2025-11-30 17:53:26.129117,2025-11-30 17:53:26.867983,0.738866,hit,1764525206.867983,-1.0,exhalation
108,left,0.05,2025-11-30 17:53:33.129117,2025-11-30 17:53:33.921142,0.792025,hit,1764525213.921142,-1.0,exhalation
109,left,0.15,2025-11-30 17:53:37.129117,2025-11-30 17:53:37.825360,0.696242,hit,1764525217.8253598,-1.0,exhalation
110,left,0.15,2025-11-30 17:53:39.129117,2025-11-30 17:53:39.897976,0.768859,hit,1764525219.8979762,1.0,inhalation
111,left,0.15,2025-11-30 17:53:44.129117,2025-11-30 17:53:45.109758,0.98064,hit,1764525225.109758,1.0,inhalation
112,left,0.05,2025-11-30 17:53:48.129117,2025-11-30 17:53:48.914309,0.785192,hit,1764525228.914309,1.0,inhalation
113,left,0.05,2025-11-30 17:53:50.129117,2025-11-30 17:53:50.918970,0.789853,hit,1764525230.91897,1.0,inhalation
114,left,0.15,2025-11-30 17:53:54.129117,2025-11-30 17:53:54.875375,0.746257,hit,1764525234.875375,1.0,inhalation
115,left,0.05,2025-11-30 17:53:59.129117,2025-11-30 17:53:59.890578,0.761461,hit,1764525239.890578,-1.0,exhalation
116,right,0.05,2025-11-30 17:54:06.129117,2025-11-30 17:54:06.899213,0.770095,hit,1764525246.899213,-1.0,exhalation
117,right,0.05,2025-11-30 17:54:13.129117,2025-11-30 17:54:13.906307,0.77719,hit,1764525253.906307,-1.0,exhalation
118,right,0.05,2025-11-30 17:54:15.129117,2025-11-30 17:54:15.912382,0.783264,hit,1764525255.912382,1.0,inhalation
119,left,0.05,2025-11-30 17:54:22.129117,2025-11-30 17:54:22.889779,0.760661,hit,1764525262.8897789,-1.0,exhalation
120,left,0.1,2025-11-30 17:54:29.129117,2025-11-30 17:54:29.891230,0.762113,hit,1764525269.8912299,-1.0,exhalation
121,right,0.1,2025-11-30 17:54:31.129117,2025-11-30 17:54:31.994444,0.865326,hit,1764525271.9944441,1.0,inhalation
122,left,0.05,2025-11-30 17:54:38.129117,2025-11-30 17:54:39.077103,0.947986,hit,1764525279.0771031,-1.0,exhalation
123,left,0.1,2025-11-30 17:54:40.129117,2025-11-30 17:54:41.181964,1.052846,hit,1764525281.181964,1.0,inhalation
124,right,0.1,2025-11-30 17:54:47.129117,2025-11-30 17:54:47.978247,0.84913,hit,1764525287.978247,-1.0,exhalation
125,left,0.1,2025-11-30 17:54:51.129117,2025-11-30 17:54:51.896448,0.76733,hit,1764525291.896448,1.0,inhalation
126,right,0.1,2025-11-30 17:54:53.129117,2025-11-30 17:54:53.973958,0.844841,hit,1764525293.9739578,1.0,inhalation
